# Pathway	SRR12395643	SRR12395644	SRR12395645	SRR12395646	SRR12395647	SRR12395648	SRR12395649	SRR12395650	SRR12395651	SRR12395652	SRR12395653	SRR12395654	SRR12395655	SRR12395656	SRR12395657	SRR12395658	SRR12395659	SRR12395660	SRR12395661	SRR12395662	SRR12395663	SRR12395664	SRR12395665	SRR12395666	SRR12395667	SRR12395668	SRR12395669	SRR12395670	SRR12395671	SRR12395672	SRR12395673	SRR12395674	SRR12395675	SRR12395676	SRR12395677	SRR12395678	SRR12395679	SRR12395680	SRR12395681	SRR12395682	SRR12395683	SRR12395684	SRR12395685	SRR12395686	SRR12395687	SRR12395688	SRR12395689	SRR12395690	SRR12395691	SRR12395692	SRR12395693	SRR12395694	SRR12395695	SRR12395696	SRR12395697	SRR12395698	SRR12395699	SRR12395700	SRR12395701	SRR12395702	SRR12395703
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	11.9211	39.1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0.631753	1.8442	6.65246	0	8.09998	0	0	1.27052	0.581918	3.7598	0.903438	0	0.626665	0	0.990421	1.24787	0	0	5.71287	0.632929	0	0	1.20572	0	0	2.66917	0	0	0	1.43931	1.1549	2.832	2.55097	4.20389	0.677307	2.26176	0	1.75761	1.06684	0	1.25097	0	0	3.52841	0	0	2.15044	0	0	0	0	0	0.97672	1.32105	1.9153	0	1.3688	1.82261	1.21595	2.01534	0
P164-PWY: purine nucleobases degradation I (anaerobic)	37.8319	42.2412	102.959	38.1859	89.9447	27.1295	81.0052	34.1554	65.9147	114.225	64.7466	25.0088	163.535	136.506	39.6211	65.8259	31.699	117.076	42.7479	47.1588	41.2732	50.2605	50.2482	17.9069	28.0159	38.6031	50.6065	74.3779	41.1313	20.9263	44.3907	45.8243	19.264	61.3384	43.4499	56.7565	37.6061	39.5505	133.448	117.239	32.8316	145.221	80.4002	135.285	42.387	11.7183	63.2149	62.5902	50.0139	63.3167	37.1998	66.9543	50.2266	154.748	39.3269	24.2829	94.4432	136.525	95.1398	52.4428	296.951
P165-PWY: superpathway of purines degradation in plants	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46946	0	0	0	0	0	0	0	0	0	0	0	1.33357	53.3294	0	0	0	9.01747	6.21332	17.3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P184-PWY: protocatechuate degradation I (meta-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.590712
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	5.5324	6.50825	7.68131	2.5186	19.0728	3.70777	9.24084	7.01981	23.9721	19.5098	16.5423	3.61099	6.79228	22.5677	6.55118	18.05	0.514725	2.32241	18.5524	10.391	6.87676	15.1695	9.96898	3.22369	2.37413	0	10.4632	0	7.45853	11.2495	9.75891	21.1376	9.04695	1.62942	7.82793	11.2387	2.55484	3.53076	228.345	15.9752	9.23224	0	0	17.4024	96.8471	127.116	13.8574	6.73293	26.7134	13.0334	2.62307	3.54138	5.20159	1.21191	5.03731	3.80994	22.6456	58.2484	10.6838	200.991	4.14356
P221-PWY: octane oxidation	2.84994	0.449628	8.12781	0	0.417869	0	0	1.19882	18.9997	0	0	1.32198	0	8.40875	0.758306	3.74776	20.3716	0	1.04083	0.490563	0	0.577641	0	0	0	0	24.0602	10.0485	0	0	0	0	0	1.19189	0.855481	0.558306	0.34323	0	28.1309	155.441	0	3.34712	0	10.3755	146.767	52.8181	5.19782	0	0.61447	6.24542	0	0.31241	0	3.49013	0.466322	0	3.94219	10.675	2.99897	77.25	23.2954
P23-PWY: reductive TCA cycle I	0	13.9569	5.91728	2.17437	26.7726	3.67126	19.3766	16.2931	4.10089	13.6548	9.52327	6.60287	17.5894	10.4673	2.03299	20.4289	45.9874	3.29629	8.94555	2.31217	34.9363	9.34338	0	4.66139	3.99418	0	28.7196	16.8363	1.23475	0	0	0	0	24.5047	6.35332	1.13962	7.17767	0	9.86378	17.9667	3.63131	29.3593	0	10.7665	18.8865	0	11.5667	17.7969	2.90745	5.79576	4.38904	11.3639	2.76103	2.30098	1.57957	3.26303	12.9618	0	3.83523	36.0474	2.13796
P241-PWY: coenzyme B biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74922	0	0	0	0.784618	1.31458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.602109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P261-PWY: coenzyme M biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67998	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	19.1484	39.7109	75.0581	38.7702	55.1097	46.1478	72.2449	17.9793	206.94	60.8096	62.4654	10.6254	163.237	155.536	62.4242	66.7033	192.334	89.9663	106.157	24.3655	20.0603	54.636	32.2225	10.0926	0	3.11107	246.727	117.703	19.7367	13.8403	61.4923	11.7962	21.3953	116.372	23.8534	41.1845	40.7157	25.7804	259.896	183.29	25.3247	150.766	115.12	150.767	195.34	318.211	50.0934	51.5943	121.759	31.5119	51.9369	38.3247	42.6116	171.934	14.3159	31.6805	89.7619	159.641	75.3903	146.663	198.87
P42-PWY: incomplete reductive TCA cycle	53.5188	56.7932	54.8166	55.3364	121.368	29.2995	75.7525	57.352	46.2175	137.826	27.2471	36.873	53.1706	24.4547	11.3053	39.293	81.2959	37.0115	43.5293	71.7558	68.9465	13.363	11.2094	17.6082	11.7758	12.4736	36.148	42.7962	12.1109	70.8222	74.014	27.0953	5.71074	59.171	71.7871	7.70487	91.8571	26.2677	34.1598	66.6689	23.0824	67.8605	50.5372	61.2965	37.533	6.7129	79.3906	60.4109	44.3655	13.3891	17.3257	35.0787	44.3142	80.822	10.4835	32.3153	99.6641	20.4033	53.4803	45.3561	15.7124
P441-PWY: superpathway of N-acetylneuraminate degradation	35.9662	105.925	66.5595	43.9747	74.0521	31.3691	96.6783	51.0594	263.389	78.514	59.8997	32.8291	205.093	173.772	58.8924	122.127	228.652	138.607	53.216	78.3211	46.6496	68.8385	45.7003	36.5183	14.0767	16.8289	260.694	157.587	59.848	25.8887	38.4844	47.2767	17.8209	158.764	52.0141	88.2652	37.7308	32.1356	261.064	175.854	29.4977	178.102	68.6989	203.713	165.928	352.912	74.6653	96.8034	55.9174	52.7817	33.8431	80.0041	49.8813	220.041	68.8152	21.8385	102.055	202.69	100.989	168.218	160.817
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	6.47516	32.7577	52.7555	14.5308	59.6828	9.38035	57.8593	27.3665	254.079	36.6469	29.6148	12.1918	155.458	136.755	24.2872	93.7821	148.12	74.3509	26.646	35.9707	16.9061	35.7534	10.874	19.6991	8.91559	9.63427	312.146	179.211	30.6718	17.8064	26.2076	28.2986	16.4772	128.557	22.1908	25.7319	10.6814	27.0818	21.9702	128.302	10.1562	172.238	34.5499	168.026	150.749	405.098	61.91	62.2734	39.1208	35.7016	9.96498	24.3136	14.7276	213.778	10.3761	8.20247	54.9393	212.399	54.0795	176.981	130.294
P562-PWY: myo-inositol degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03937	0	0	0	0	0	0	0	0	0	0	0	0	1.17069	7.7246	13.4639	0	0	0	0.87231	0	0	0	0	0	0	0	0	0	0	0	4.85595	0.451956	0	0	0	0	0	0	0	0	0	0	1.55437	0	0	0	0
P621-PWY: nylon-6 oligomer degradation	0	0	0	1.66116	1.02235	0	0	0	1.01071	0	0	0	0	4.15241	0	0.700277	0	0	3.12558	0	0	0	0	0	0	0	0	0	7.24589	0	3.62837	0	5.79742	0	0	0.872849	0	0	2.10181	0	0	0	0	0	0	1.07249	0	0	0	0	0	0	0	0.784391	0	0	0	1.45989	2.75357	0	3.0213
PANTO-PWY: phosphopantothenate biosynthesis I	302.252	390.326	408.161	369.137	348.515	357.503	308.416	285.722	279.764	300.647	323.762	390.242	300.971	339.949	255.998	254.433	260.249	329.271	311.574	245.481	236.624	308.042	374.038	385.333	326.343	394.561	288.201	294.693	366.365	286.57	244.047	451.174	436.157	292.358	318.93	387.021	418.195	453.738	334.545	335.308	385.143	299.45	171.003	279.358	318.98	367.174	314.211	291.64	347.399	345.954	372.824	526.175	302.837	329.548	462.374	385.844	267.008	378.646	293.223	208.608	382.086
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0	420.57	427.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	334.357	0	0	382.199	378.291	361.753	325.281	296.905	238.986	306.262	338.768	291.893	268.469	358.63	280.801	279.391	216.234	350.516	315.783	266.084	262.592	339.789	371.44	391.721	338.537	385.423	248.329	278.848	383.259	289.62	270.492	440.171	434.629	267.075	334.815	398.347	430.34	462.641	265.295	277.244	403.943	278.365	210.393	250.697	243.289	244.474	354.785	298.944	373.896	373.606	416.594	528.696	332.534	276.471	471.671	392.63	300.265	367.284	323.967	180.297	353.594
PENTOSE-P-PWY: pentose phosphate pathway	168.763	142.319	202.209	140.128	101.21	123.708	180.157	118.354	276.951	128.302	122.477	80.5599	228.276	231.377	126.287	108.282	145.42	150.78	162.309	120.06	127.138	153.805	184.938	181.956	134.75	157.648	240.046	120.761	133.073	134.185	115.435	213.943	175.924	194.08	126.945	170.834	201.866	191.28	266.95	206.356	138.535	225.841	169.592	150.168	171.248	334.477	95.7118	135.234	219.665	167.978	160.305	127.5	61.0917	243.744	173.904	117.354	101.585	176.82	166.731	246.292	216.559
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	476.43	548.102	502.365	433.781	476.036	440.162	402.322	394.223	292.091	428.356	459.239	591.343	318.128	464.634	363.443	374.994	276.8	422.848	434.251	374.663	404.644	469.594	412.915	436.216	407.603	396.677	309.347	372.94	489.016	390.829	394.995	500.079	470.676	310.603	410.35	436.827	465.047	511.198	350.343	287.807	466.005	307.339	354.254	341.846	266.616	316.824	451.768	384.68	457.476	437.347	517.715	552.449	522.044	312.125	527.995	422.496	425.426	456.136	413.685	244.133	357.222
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	145.981	160.299	277.467	184.369	175.791	115.727	213.23	133.751	345.49	174.987	169.996	294.6	281.554	315.481	60.1636	190.077	335.846	262.364	143.376	133.998	180.105	107.097	124.283	251.914	216.006	125.601	341.712	291.438	218.588	121.822	136.997	147.221	302.498	250.575	202.56	203.066	125.244	270.53	270.542	265.893	139.237	289.507	168.317	266.737	229.411	430.061	124.661	144.527	163.579	259.218	145.766	148.232	311.532	312.604	207.202	99.7738	177.315	351.776	221.662	195.612	321.227
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	5.48788	4.79253	14.2831	10.7385	15.6604	10.8533	51.6728	14.1692	9.99785	1.85501	2.31834	29.6189	48.4702	85.5845	17.098	34.8464	26.4739	75.1919	14.8556	30.5439	25.9336	8.08608	1.76679	0	5.18243	4.69453	22.0964	16.2385	23.2399	0	5.77458	0	4.93878	11.5163	16.8953	25.8497	47.6121	0	11.1806	139.588	23.8019	14.7292	10.4401	42.3968	135.197	1.55798	17.4173	34.4752	4.38154	27.25	5.11704	4.35579	42.9233	57.4191	4.74028	30.6313	49.4284	45.0551	39.4353	14.1605	65.4079
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	154.721	21.3696	20.4654	19.7664	21.6067	19.7646	61.8103	45.5908	248.609	61.4552	29.982	30.0519	189.985	125.739	24.3701	52.7951	157.368	127.081	14.6	65.5864	54.3554	34.6101	27.5924	14.5785	11.1374	7.16475	238.382	137.617	25.2067	68.4551	64.3415	26.2768	25.7416	112.051	30.0666	29.4727	49.9896	15.5237	46.3577	232.178	32.968	141.599	21.002	154.943	211.919	365.021	83.9196	36.2224	25.2638	31.5029	21.371	14.7676	43.1609	200.986	15.9184	30.1424	82.3258	164.555	63.0499	110.368	114.524
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	62.7933	43.2798	120.603	55.9011	45.2883	48.2522	76.4837	50.7903	169.156	48.2745	76.7635	34.6013	119.115	138.316	55.2424	49.0872	124.975	72.1737	89.0189	37.3709	68.9073	89.1939	145.826	128.758	71.723	93.6433	170.549	82.2005	73.1909	67.1677	64.5449	76.8995	100.588	88.2985	56.8058	87.8267	83.0946	82.7496	204.375	152.063	61.8577	113.385	0	100.318	117.726	230.525	68.4774	31.182	127.769	105.321	57.9037	131.071	15.2495	140.93	92.776	59.5038	40.2811	95.8505	79.5887	88.1572	84.1612
PPGPPMET-PWY: ppGpp biosynthesis	0	29.5459	21.4049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp metabolism	14.6503	0	0	15.7704	73.8427	20.5588	23.7626	5.78644	54.0063	62.6721	23.2379	11.5232	34.1419	52.1666	15.157	24.4629	99.7816	26.8742	35.4832	18.9334	16.6498	29.2318	28.5134	9.82721	10.8576	1.69829	95.0868	31.3159	16.3067	6.84308	22.9756	23.2379	7.45698	26.4179	25.6377	15.8816	33.7455	24.2913	199.627	100.901	9.72167	26.7746	28.0579	52.8216	94.7732	114.436	20.1742	28.0473	30.5558	19.9082	60.8941	13.3049	41.5341	28.3728	21.1672	16.4545	33.2272	74.65	21.2868	73.7172	27.952
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate	0	0	0.818859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	0	0	2.32263	0	0	0	0	9.44625	3.60878	0	1.24762	0	0	0	0	2.04621	2.66326	0	2.02558	0	3.55883	1.93586	3.93878	0	0	0	7.15604	0	0	0	3.4045	0	0	2.42516	1.52996	1.7584	0	0	0	0	0	0	0	0	5.20863	0	0	0	2.90615	0	0	1.57853	1.95296	0	6.77578	2.63163	1.37591	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0.491822	0	0.510732	0	0	0	7.93699	0	0	0	0	2.28031	0	9.24637	0	0	0.617902	0	0	2.58393	0	0	0	0	8.15131	0	0.688939	0	0	0	0	0	1.17212	0	0	0	1.37642	101.609	0	0	0	9.02568	185.067	54.9417	0	0	0	6.11009	0	0	0	0	0	0	2.079	0	0	71.4467	11.7521
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	3.42354	110.202	119.386	4.95332	24.8823	0	19.855	8.95128	177.413	0	5.31951	17.2842	122.001	67.0969	9.27395	59.3253	24.4874	28.5033	0	9.61861	0	0	0	0	4.62217	0	194.812	70.8551	9.87334	0	0	0	0	144.522	14.7238	0	6.99939	0	0	132.683	0	138.019	0	109.595	176.429	213.157	6.16301	40.8331	0	32.0092	0	13.5854	0	153.319	5.37498	0	37.1643	19.1972	8.43977	92.0933	15.6935
PWY-1042: glycolysis IV	484.476	0	0	477.455	537.549	566.056	487.192	474.818	388.782	501.549	526.479	569.238	401.597	598.912	424.815	432.682	344.406	440.807	499.42	425.168	417.318	521.528	501.133	472.62	418.453	277.756	409.284	443.666	522.489	454.97	442.789	497.835	436.531	407.719	426.789	503.344	461.472	547.896	396.254	321.33	527.069	385.038	374.432	420.528	291.296	495.407	556.885	428.461	559.912	484.769	520.438	605.95	540.032	405.446	542.141	468.287	551.479	624.026	469.633	381.981	349.627
PWY-1042: glycolysis IV (plant cytosol)	0	651.422	554.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	100.773	0	0	124.32	56.596	70.7122	105.729	43.8863	250.794	78.0879	43.0483	306.353	175.223	139.447	21.157	66.3637	151.228	106.382	50.1273	78.1476	71.4094	35.6157	50.2009	133.288	118.223	327.52	269.321	144.458	89.0714	58.7939	72.2116	82.1759	203.454	234.703	115.137	113.869	83.7641	167.535	270.446	254.938	67.6733	217.131	26.1974	129.236	194.379	380.807	44.3727	120.157	55.6337	171.6	133.15	157.016	177.086	201.742	99.282	85.3851	77.9009	153.982	123.819	165.072	216.656
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0	77.8137	165.967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1361: benzoyl-CoA degradation I (aerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.7689
PWY-1501: mandelate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.485535	0	0	0	0	52.4125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27488
PWY-1541: superpathway of taurine degradation	0.406695	0	3.58904	0	0	0	0	0	1.88545	0	0	0	0	0	3.16482	0	0	0	0	0	0	0	0	0	0	0	1.97745	0	0	0	0	0	0	0	0	0	0	0	0	2.14726	0	0	0	0	1.72708	12.7082	0	0	0	0	0	0	0	0.884672	0	0	0	0	0	25.6026	1.54021
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	7.20651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47499	0	0
PWY-181: photorespiration	0	0	21.0894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06146	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0	11.5728	45.1988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	19.0817	0	0	24.4566	131.134	4.08347	25.9729	5.88638	213.706	76.3619	68.7029	11.6313	159.203	141.573	22.9358	21.573	3.07213	101.244	84.6929	25.0836	8.57363	13.8643	14.2472	21.4675	2.89747	4.17581	83.5894	80.1835	24.277	34.7392	49.0693	53.7923	24.8968	179.604	23.6312	37.5887	19.2659	49.1791	9.01419	110.596	10.669	144.871	68.0211	135.65	2.54182	343.137	103.647	56.5126	157.522	5.50138	11.2412	9.44747	16.6123	177.322	32.7906	10.9014	162.169	193.195	24.6534	56.1995	6.77516
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	0	0	1.07705	0	0	1.07504	1.65416	0	0	0	0	0	0	0	0	0	1.49082	0	0	0	0	0	0	0	2.7076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.670596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	14.5542	21.5598	67.3585	41.415	17.8678	36.2968	70.0756	21.7413	140.023	6.36533	42.3777	17.8941	146.636	149.372	42.4461	43.4684	179.242	86.5382	72.8391	4.80686	18.1276	21.6895	16.2828	3.50453	7.09924	2.28044	130.27	135.106	20.836	3.98485	55.1942	3.96307	29.3593	107.079	25.9561	19.6808	68.046	6.61604	211.895	153.975	21.6215	145.296	131.507	107.925	187.547	5.13975	15.1793	31.7624	87.2923	17.0747	43.0276	21.1022	38.0041	146.958	14.5573	13.7233	59.5749	130.944	86.0493	164.019	211.423
PWY-2723: trehalose degradation V	2.25548	12.4647	7.82649	11.8107	57.8698	10.7243	32.3183	5.77736	154.128	4.40495	16.2132	13.1279	101.32	44.9473	6.52757	15.9254	109.669	36.1046	17.211	4.25305	7.45899	14.6165	11.2192	0.651405	1.44115	0.809824	151.272	35.4057	2.89573	0	3.67854	0	12.0924	117.917	5.06455	5.9627	6.15586	4.33487	294.08	187.452	1.06291	74.9225	24.945	87.5205	166.611	232.836	5.12796	14.0473	13.5081	2.8055	10.7615	9.7104	14.5041	107.257	7.20473	9.65218	13.6404	51.7695	15.2121	124.114	107.099
PWY-2941: L-lysine biosynthesis II	86.7511	155.439	219.51	121.062	33.4822	67.3293	141.946	132.315	28.997	85.3351	49.1341	75.0299	146.051	147.894	69.0724	110.899	24.613	29.1154	90.2225	83.6772	110.129	74.2485	94.053	169.013	49.2669	283.654	11.6694	57.3256	115.026	76.7542	108.889	113.961	195.986	130.121	99.1011	123.477	136.153	81.4376	282.998	37.8738	22.4292	100.659	123.324	24.5493	41.2837	17.0757	70.2863	113.865	112.26	192.411	241.88	57.6678	96.4402	82.361	142.049	46.4639	103.669	107.443	175.387	193.306	40.8701
PWY-2942: L-lysine biosynthesis III	431.416	453.729	402.935	355.356	384.414	342.816	343.278	316.858	261.857	367.436	381.502	498.715	306.982	382.872	261.289	296.452	250.493	324.552	350.735	331.58	287.474	342.501	335.229	373.337	332.661	407.124	282.136	285.713	388.671	337.571	345.819	391.611	437.109	251.228	325.943	372.767	438.037	448.474	365.789	290.071	388.315	277.412	282.512	278.69	300.642	364.203	359.322	344.44	364.868	352.802	428.199	503.869	408.06	274.965	434.617	351.928	393.56	405.432	325.163	304.081	320.141
PWY-3001: superpathway of L-isoleucine biosynthesis I	361.789	369.96	374.816	345.926	322.41	299.533	344.424	292.909	364.881	302.594	319.793	296.145	356.919	394.98	254.936	259.569	283.021	300.973	322.737	252.714	296.78	318.305	332.665	342.388	306.379	280.528	338.056	318.043	330.481	285.358	279.379	428.664	424.354	327.174	307.997	339.9	414.041	420.741	263.402	327.762	344.746	360.965	253.409	314.027	280.442	506.769	290.139	273.883	389.326	363.611	415.419	411.758	323.841	382.697	439.71	311.91	360.267	396.785	349.928	250.116	390.428
PWY-3502: superpathway of NAD biosynthesis in eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0568
PWY-3781: aerobic respiration I (cytochrome c)	0	5.06474	65.9423	0	0	0	0	0	0	0	0	0	0	65.4478	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II	0	520.055	518.374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)	465.926	0	0	404.145	445.927	427.716	392.163	378.38	326.285	381.471	401.398	396.53	326.971	408.895	331.267	349.29	295.893	393.555	407.442	381.092	387.677	416.962	386.004	410.406	396.223	469.738	307.253	297.357	445.779	394.137	408.022	489.865	528.832	306.571	400.917	431.747	532.168	556.992	353.241	303.788	450.821	318.601	282.464	365.228	298.194	397.1	436.678	370.215	433.951	415.796	475.352	522.395	399.689	318.38	518.496	423.795	403.223	383.803	388.066	244.505	403.109
PWY-4041: &gamma;-glutamyl cycle	35.1735	18.7821	79.2158	39.5289	44.3401	55.0196	82.6189	28.4536	252.628	41.2769	82.7519	20.6091	177.93	155.483	48.2843	71.4656	152.657	105.546	103.43	24.9332	45.4513	30.9036	13.8326	26.379	12.2048	5.91177	299.222	135.199	45.4775	6.81304	56.8685	40.182	30.0055	171.06	30.2306	67.1403	30.8757	20.5368	291.514	162.897	28.967	190.625	105.359	134.752	168.332	338.523	55.76	59.1631	85.4367	36.0862	39.2826	71.9169	34.879	236.3	70.2336	32.3654	57.6121	129.077	83.2011	147.391	140.097
PWY-4242	395.122	0	0	406.582	425.464	410.349	367.374	340.965	232.926	351.827	398.942	244.709	271.569	405.368	338.004	344.238	222.313	370.608	402.78	316.044	294.497	417.511	383.312	411.053	378.444	387.74	239.845	312.609	438.746	328.41	341.893	453.665	444.059	256.743	393.751	405.381	449.718	485.273	355.055	253.703	450.481	277.585	323.734	265.843	232.727	209.479	433.608	318.307	444.12	416.727	484.317	511.813	346.702	262.608	499.1	408.626	370.558	382.013	403.22	170.223	354.709
PWY-4242: pantothenate and coenzyme A biosynthesis III	0	497.105	465.425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4321: L-glutamate degradation IV	0	0	0	0	0	1.54864	1.98842	0	17.2205	0	0	0	0	13.15	0	0	15.9957	0	0	0	0	0	0	0	0	0	58.4159	10.3124	0	0	0	0	0	0	0	1.54314	0	0	0	3.19236	0	0	0	0	0	33.148	0	2.5951	0	1.50036	0	0	0	0	0	0	2.22679	9.68132	7.14198	42.9162	53.4925
PWY-4702: phytate degradation I	2.16349	0	4.27701	0.325869	0.910582	0	27.0817	0	225.064	2.03113	0.456219	4.25415	164.751	130.006	3.55147	6.02505	128.779	67.3584	4.75518	3.01833	2.40178	1.32432	0.318098	0	0.366246	0	194.491	102.845	2.24349	0.677354	3.504	0	2.03638	132.886	5.53533	8.17613	0.970293	0	172.937	102.566	0	138.178	0	141.347	6.54726	337.931	10.6206	11.1831	0	1.10875	0.739524	10.7473	3.03801	194.669	0.61467	0	1.0662	107.328	27.4941	11.8929	99.4331
PWY-4722: creatinine degradation II	0	0	0.531708	0	1.04086	0	0	0	0	1.45906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5895	0	0	0	0	0.421786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15416	1.27842	0	4.03342	0	0	0	0
